run_id,ticker,strategy_id,block_label,lookback_days,cadence_run,share_count,max_concurrent,data_source,fill_model,data_window_start,data_window_end,cadence_leg,chain_id,chain_position,is_initial_entry,leg_index_in_chain,entry_date,spot_at_entry,strike,expiry_date,dte_at_entry,distance_pct_otm,mid_entry,premium_collected_per_contract,iv_at_entry,delta_at_entry,ann_yield_pct,regime_at_entry,close_date,buyback_mid,expiry_close,outcome,exit_type,days_held,pnl_dollar,pnl_per_share,is_winning,capped_upside_dollar,is_assignment_severe
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,2a8b988ab6c8,1,FALSE,1,2023-06-09,429.90,439.00,2023-07-14,35,2.117,2.1900,219.00,9.29,0.2931,5.31,UNKNOWN,2023-06-15,7.7400,,rolled_up_and_out,early,6,-555.00,-5.5500,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,9430675ac044,2,FALSE,2,2023-06-15,442.60,452.00,2023-07-21,36,2.124,2.5100,251.00,9.29,0.2966,5.75,UNKNOWN,2023-06-20,1.2450,,closed_early_50pct,early,5,126.50,1.2650,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,2a8b988ab6c8,2,FALSE,2,2023-06-15,442.60,452.00,2023-07-21,36,2.124,2.5100,251.00,9.29,0.2966,5.75,UNKNOWN,2023-06-20,1.2450,,closed_early_50pct,early,5,126.50,1.2650,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,8073071954b9,0,TRUE,0,2023-06-20,437.18,447.00,2023-07-21,31,2.246,2.4350,243.50,10.27,0.2798,6.56,SELL PREMIUM,2023-06-23,0.8950,,closed_early_50pct,early,3,154.00,1.5400,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,60b7ba1d1649,0,TRUE,0,2023-06-20,437.18,447.00,2023-07-21,31,2.246,2.4350,243.50,10.27,0.2798,6.56,SELL PREMIUM,2023-06-23,0.8950,,closed_early_50pct,early,3,154.00,1.5400,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,546e93f799ed,0,TRUE,0,2023-06-27,436.17,445.00,2023-07-28,31,2.024,2.5800,258.00,10.27,0.3047,6.96,SELL PREMIUM,2023-07-07,2.7200,,rolled_at_21_dte,early,10,-14.00,-0.1400,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,be4c20dc0b1e,0,TRUE,0,2023-06-27,436.17,445.00,2023-07-28,31,2.024,2.5800,258.00,10.27,0.3047,6.96,SELL PREMIUM,2023-07-07,2.7200,,rolled_at_21_dte,early,10,-14.00,-0.1400,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,546e93f799ed,1,FALSE,1,2023-07-07,438.55,449.00,2023-08-11,35,2.383,2.8900,289.00,11.24,0.3019,6.87,UNKNOWN,2023-07-18,9.5400,,rolled_up_and_out,early,11,-665.00,-6.6500,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,be4c20dc0b1e,1,FALSE,1,2023-07-07,438.55,449.00,2023-08-11,35,2.383,2.8900,289.00,11.24,0.3019,6.87,UNKNOWN,2023-07-18,9.5400,,rolled_up_and_out,early,11,-665.00,-6.6500,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,546e93f799ed,2,FALSE,2,2023-07-18,454.19,464.00,2023-08-18,31,2.160,2.5550,255.50,10.27,0.2895,6.62,UNKNOWN,2023-07-27,1.2550,,closed_early_50pct,early,9,130.00,1.3000,TRUE,0.00,FALSE
